Comment,Description,Designator,Footprint,LibRef,Quantity

"LED_Green_GullWing","LED Gull-wing SMD High-intensity Green 450mcd 574nm","3V3_RPI_PWR, D202, D203, D204, D809, PI_ACTIVITY, RPI_PWR","LED-0805-A","LED_Green_GullWing","7"
"100nF","GRM155R61E104KA87D","C100, C301, C302, C500, C504, C505, C507, C508, C603, C803, C804, C805, C806, C807, C808","CAPC1005X55X25NL05T10","CMP-2008-04580-1","15"
"10uF","GRM21BF51C106ZE15L","C101, C102, C204, C205, C206, C209, C210, C212, C213, C214, C215, C501, C506, C600, C702, C703","CAPC2013X135X45NL10T25","CMP-2007-03514-1","16"
"Capacitor 0.1 uF +/- 5% 16 V 0402","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","C200, C201, C203, C207, C208, C211, C704, C705, C706, C707, C708, C709, C710","CAPC1005X56X25ML10T15","CMP-001-00001-4","13"
"10uF 16V","CL21 Series 0805 10uF 16V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor

CL21A106KOQNNNE","C202, C304, C305, C307, C308, C309, C311, C314, C315, C316, C319, C320, C321","FP-CL21-IPC_B","CMP-2000-06102-2","13"
"10uF 50V","CAP CER 10UF 50V X5R 1206

CL31A106KBHNNNE","C303, C306, C310, C313, C318","FP-CL31-IPC_C","CMP-13271-000016-1","5"
"470uF 63V","CAP ELEC 12.5x25 470uF 63V 10k@105C","C312, C800, C802","CAPPRD500W60D1275H2700","63YXJ470MG412.5X25","3"
"04025A330JAT2A","","C700, C701","CAPC1005X56X25ML10T15","CMP-2008-02637-1","2"
"SS24","2.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER","D100","DO-214AC","SS24","1"
"IP4220CZ6","ESD protection for USB 2.0","D200, D201","SOT457(SC-74)","IP4220CZ6","2"
"SMBJ36CA","TVS Diode (Bi-directional)","D300","DIONM5436X261N","SMBJ36CA","1"
"TLP291","Photocoupler","D301","SO4","TLP291","1"
"TLP291","Photocoupler","D800, D801, D802","tlp291","TLP291","3"
"MF-NSMF020-2","PTC RESET FUSE 24V 200MA 1206","F100, F800, F801","FP-MF-NSMF020-2-MFG","CMP-07400-000029-1","3"
"USB1040-GF-L-B","USB Type A Vertical Connector","HDMI_PWR, J701, J702","USB1040GFLB","USB1040-GF-L-B","3"
"TPS22917DBVR","Integrated Circuit","IC200, IC700","SOT95P280X145-6N","TPS22917DBVR","2"
"MIC2075-1YMM-TR","Integrated Circuit","IC201","SOP65P490X110-8N","MIC2075-1YMM-TR","1"
"R-78E3.3-1.0","Integrated Circuit","IC300","R78E3310","R-78E3.3-1.0","1"
"INA220AIDGSR","Integrated Circuit","IC301, IC302","SOP50P490X110-10N","INA220AIDGSR","2"
"VX78012-500","Integrated Circuit","IC303","VX78012500","VX78012-500","1"
"2-1761603-6","Connector","J100","SHDR16W79P254_2X8_2794X883X922P","2-1761603-6","1"
"DM3AT-SF-PEJM5","Connector","J200","DM3ATSFPEJM5","DM3AT-SF-PEJM5","1"
"ARJM11B1-502-NN-EW2","Connector","J201","ARJM11C7-502-AB-ER2-T-MFG","ARJM11B1-502-NN-EW2","1"
