Comment,Description,Designator,Footprint,LibRef,Quantity

"Capacitor 0.1 uF +/- 5% 16 V 0402","Chip Capacitor, 0.1 uF, +/- 5%, 16 V, 0402 (1005 Metric)","C1, C2, C3, C4, C5, C8, C13, C14","CAPC1005X56X25ML10T15","CMP-001-00001-4","8"
"10uF 16V","CL21 Series 0805 10uF 16V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor

CL21A106KOQNNNE","C6, C7","FP-CL21-IPC_B","CMP-2000-06102-2","2"
"36p","CAP CER RF 36PF 50V 1% C0G 0402CBR04C360F5GAC","C9, C10","FP-CBR04C-MFG","CMP-03020-012915-1","2"
"47u 10V 0805","CAP CER 0805 47uF 10V X5R 20%","C11","CAPC2012X135N","LMK212BBJ476MG-T","1"
"1000V 1nF","C0805C102KDRACTU","C12","CAPC2013X88X50ML20T25","CMP-2007-00250-1","1"
"33p","04025A330JAT2A","C15, C16","CAPC1005X56X25ML10T15","CMP-2008-02637-1","2"
"Header 5","Header, 5-Pin","CP2102","HDR1X5","Header 5","1"
"SS24","2.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER","D1","DO-214AC","SS24","1"
"MF-NSMF020-2","PTC RESET FUSE 24V 200MA 1206","F1","FP-MF-NSMF020-2-MFG","CMP-07400-000029-1","1"
"ST-Link","ST-Link header with silkscreen","H1","ST-Link","ST-Link","1"
"STM32F030CCT6","Integrated Circuit","IC1","QFP50P900X900X160-48N","STM32F030CCT6","1"
"Header 20","Header, 20-Pin","P1, P2","HDR1X20","Header 20","2"
"4k7","RC0402FR-134K7L","R1","RESC1005X40X25ML05T10","CMP-2002-07894-1","1"
"220R","RC0402FR-07220RL","R2","RESC1005X40X25ML05T10","CMP-2002-07511-1","1"
"5K1","RC0402FR-075K1L","R3, R4","RESC1005X40X25ML05T10","CMP-2002-07753-1","2"
"27R","RC0402JR-0727RL","R5, R6, R7, R8","RESC1005X40X25NL05T10","CMP-1011-00036-2","4"
"SW_THT_PB_4.3mm","Switch, tact, 4.3mm stem","RST1","TACT_SWT-SMD-4.4","SW_THT_PB_4.3mm","1"
"ME6231A33M3G","Linear Voltage Regulator IC, 3.3V Fixed Output, 500mA, SOT-23-5","U1","SOT23-5","CMP-019-00053-1","1"
"CH340","USB to UART transciever","U2","SOP20","CH340","1"
"USB type C connector","USB type C connector","USB1","TYPE-C-31-M-12","USB_Type_C","1"
"ABM3B-24.000MHZ-B2-T","Ceramic SMD Crystal, 24 MHz, +/- 20 ppm, 50 Ohm, -20 to 70 degC, 4-Pin SMD, RoHS, Tape and Reel","X1","ABRA-ABM3B-4_V","CMP-1688-00008-1","1"
"ECS-80-10-33-CHN-TR","Crystal or Oscillator","Y1","ECS801033CHNTR","ECS-80-10-33-CHN-TR","1"
