Comment,Description,Designator,Footprint,LibRef,Quantity,,
,,,,,,,
LED_Green_GullWing,LED Gull-wing SMD High-intensity Green 450mcd 574nm,"5V_PWR, 12V_PWR, D1, D2",LED-0805-A,LED_Green_GullWing,4,,done
330uF 16V,"ECA1HM101, Aluminum Electrolytic Capacitor, 100 uF, +/- 20%, 50 V, -40 to 85 degC, 2-Pin THD, RoHS, Bulk","C1, C24, C25",CAPPR65-350-1150X800X1250,CMP-1665-00042-2,3,,done
100nF,GRM155R61E104KA87D,"C13, C14, C15",CAPC1005X55X25NL05T10,CMP-2008-04580-1,3,,done
22u 35V,CAP CER 0805 22uF 35V X5R 20%,"C16, C17, C18, C19, C20, C21",CAPC2012X135N,C2012X5R1V226MT000E,6,,done
10uF 16V,"CL21 Series 0805 10uF 10V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor

CL21A106KPFNNNE","C22, C23",FP-CL21-IPC_A,CMP-2000-06103-2,2,,done
TLP291,Photocoupler,"D3, D4, D5",SO4,TLP291,3,,done
16V 5A,FUSE 16V 5A 1812 PTC Resettable Fuses,"F1, F2, F5",FUSE_1812,mSMD260-16V,3,,LCSC
MF-NSMF020-2,PTC RESET FUSE 24V 200MA 1206,F3,FP-MF-NSMF020-2-MFG,CMP-07400-000029-1,1,,Hydro / done
MAX485ESA+T,Integrated Circuit,IC1,SOIC127P600X175-8N,MAX485ESA+T,1,,done
22-03-5045,Connector,"J1, J2, J3",SHDR4W70P0X250_1X4_1240X490X610P,22-03-5045,3,,done
XT30_male,"XT30_male, input port",J100,XT30_MALE_RA,XT30_male,1,,done
M3_MNT_Hole,,"MNT1, MNT2, MNT3, MNT4",M3_MNT_Hole,M3_MNT_Hole,4,,done
Header 3H,"Header, 3-Pin, Right Angle","P1, P2, P3",HDR1X3H,Header 3H,3,,taobao
1K,"Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel

ERJ-2RKF1001X","R1, R2, R4, R5, R6, R7, R8, R9, R10, R11",RESC1005X40X25NL05T05,CMP-1011-00510-4,10,,done
120R,RC0402JR-07120RL,R3,RESC1005X40X25ML5T10,CMP-1011-00052-3,1,,done
ESP-WROOM-32,ESP-WROOM-32 MODULE,U1,ESP_WROOM_32_SMD,ESP-WROOM-32,1,,done
TXS0108EPWR,IC TRNSLTR BIDIRECTIONAL 20TSSOP,U2,FP-PW0020A-IPC_C,CMP-2000-04956-2,1,,done
LM1117-5.0,"1117 LDO with fixed 5V output, 800mA current",U6,SOT223,LM1117-5.0,1,,done
Header,Header 3-pin,UART,1x3POS_HEADER,Header3P,1,,done
